Date,Symbol,Close,High,Low,Open,Volume
2023/9/15,BTC-USD,26608.69336,26840.49805,26240.70117,26533.81836,11479735788
2023/9/16,BTC-USD,26568.28125,26754.76953,26473.89063,26606.19922,7402031417
2023/9/17,BTC-USD,26534.1875,26617.99805,26445.07422,26567.92773,6774210670
2023/9/18,BTC-USD,26754.28125,27414.73438,26415.51563,26532.99414,15615339655
2023/9/19,BTC-USD,27211.11719,27488.76367,26681.60547,26760.85156,13807690550
2023/9/20,BTC-USD,27132.00781,27379.50586,26864.08203,27210.22852,13281116604
2023/9/21,BTC-USD,26567.63281,27152.93945,26389.30078,27129.83984,13371443708
2023/9/22,BTC-USD,26579.56836,26726.07813,26495.5332,26564.05664,10578746709
2023/9/23,BTC-USD,26579.39063,26634.18555,26520.51953,26578.55664,7404700301
2023/9/24,BTC-USD,26256.82617,26716.05859,26221.05078,26579.37305,8192867686
2023/9/25,BTC-USD,26298.48047,26421.50781,26011.46875,26253.77539,11997833257
2023/9/26,BTC-USD,26217.25,26389.88477,26090.71289,26294.75781,9985498161
2023/9/27,BTC-USD,26352.7168,26817.8418,26111.46484,26209.49805,11718380997
2023/9/28,BTC-USD,27021.54688,27259.5,26327.32227,26355.8125,14079002707
2023/9/29,BTC-USD,26911.7207,27225.9375,26721.76367,27024.8418,10396435377
2023/9/30,BTC-USD,26967.91602,27091.79492,26888.96875,26911.68945,5331172801
2023/10/1,BTC-USD,27983.75,28047.23828,26965.09375,26967.39648,9503917434
2023/10/2,BTC-USD,27530.78516,28494.45898,27347.78711,27976.79883,19793041322
2023/10/3,BTC-USD,27429.97852,27667.19141,27216.00195,27508.25195,11407814187
2023/10/4,BTC-USD,27799.39453,27826.6582,27248.10547,27429.07422,11143355314
2023/10/5,BTC-USD,27415.91211,28091.86133,27375.60156,27798.64648,11877253670
2023/10/6,BTC-USD,27946.59766,28252.53711,27215.55273,27412.12305,13492391599
2023/10/7,BTC-USD,27968.83984,28028.0918,27870.42383,27946.78125,6553044316
2023/10/8,BTC-USD,27935.08984,28102.16992,27740.66211,27971.67773,7916875290
2023/10/9,BTC-USD,27583.67773,27989.4707,27302.5625,27934.47266,12007668568
2023/10/10,BTC-USD,27391.01953,27715.84766,27301.6543,27589.20117,9973350678
2023/10/11,BTC-USD,26873.32031,27474.11523,26561.09961,27392.07617,13648094333
2023/10/12,BTC-USD,26756.79883,26921.43945,26558.32031,26873.29297,9392909295
2023/10/13,BTC-USD,26862.375,27092.69727,26686.32227,26752.87891,15165312851
2023/10/14,BTC-USD,26861.70703,26969,26814.58594,26866.20313,5388116782
2023/10/15,BTC-USD,27159.65234,27289.16992,26817.89453,26858.01172,7098201980
2023/10/16,BTC-USD,28519.4668,29448.13867,27130.47266,27162.62891,27833876539
2023/10/17,BTC-USD,28415.74805,28618.75195,28110.18555,28522.09766,14872527508
2023/10/18,BTC-USD,28328.3418,28889.00977,28174.25195,28413.53125,12724128586
2023/10/19,BTC-USD,28719.80664,28892.47461,28177.98828,28332.41602,14448058195
2023/10/20,BTC-USD,29682.94922,30104.08594,28601.66992,28732.8125,21536125230
2023/10/21,BTC-USD,29918.41211,30287.48242,29481.75195,29683.38086,11541146996
2023/10/22,BTC-USD,29993.89648,30199.43359,29720.3125,29918.6543,10446520040
2023/10/23,BTC-USD,33086.23438,34370.4375,30097.82813,30140.68555,38363572311
2023/10/24,BTC-USD,33901.52734,35150.43359,32880.76172,33077.30469,44934999645
2023/10/25,BTC-USD,34502.82031,35133.75781,33709.10938,33916.04297,25254318008
2023/10/26,BTC-USD,34156.64844,34832.91016,33762.32422,34504.28906,19427195376
2023/10/27,BTC-USD,33909.80078,34238.21094,33416.88672,34156.5,16418032871
2023/10/28,BTC-USD,34089.57422,34399.39063,33874.80469,33907.72266,10160330825
2023/10/29,BTC-USD,34538.48047,34743.26172,33947.56641,34089.37109,11160323986
2023/10/30,BTC-USD,34502.36328,34843.93359,34110.97266,34531.74219,17184860315
2023/10/31,BTC-USD,34667.78125,34719.25391,34083.30859,34500.07813,15758270810
2023/11/1,BTC-USD,35437.25391,35527.92969,34170.69141,34657.27344,22446272005
2023/11/2,BTC-USD,34938.24219,35919.84375,34401.57422,35441.57813,20998158544
2023/11/3,BTC-USD,34732.32422,34942.47266,34133.44141,34942.47266,17158456701
2023/11/4,BTC-USD,35082.19531,35256.03125,34616.69141,34736.32422,9561294264
2023/11/5,BTC-USD,35049.35547,35340.33984,34594.24219,35090.01172,12412743996
2023/11/6,BTC-USD,35037.37109,35286.02734,34765.36328,35044.78906,12693436420
2023/11/7,BTC-USD,35443.5625,35892.41797,34545.81641,35047.79297,18834737789
2023/11/8,BTC-USD,35655.27734,35994.41797,35147.80078,35419.47656,17295394918
2023/11/9,BTC-USD,36693.125,37926.25781,35592.10156,35633.63281,37762672382
2023/11/10,BTC-USD,37313.96875,37493.80078,36362.75391,36702.25,22711265155
2023/11/11,BTC-USD,37138.05078,37407.09375,36773.66797,37310.07031,13924272142
2023/11/12,BTC-USD,37054.51953,37227.69141,36779.11719,37133.99219,11545715999
2023/11/13,BTC-USD,36502.35547,37405.11719,36399.60547,37070.30469,19057712790
2023/11/14,BTC-USD,35537.64063,36753.35156,34948.5,36491.78906,23857403554
2023/11/15,BTC-USD,37880.58203,37964.89453,35383.78125,35548.11328,27365821679
2023/11/16,BTC-USD,36154.76953,37934.625,35545.47266,37879.98047,26007385366
2023/11/17,BTC-USD,36596.68359,36704.48438,35901.23438,36164.82422,22445028430
2023/11/18,BTC-USD,36585.70313,36839.28125,36233.3125,36625.37109,11886022717
2023/11/19,BTC-USD,37386.54688,37509.35547,36414.59766,36585.76563,12915986553
